Section,Type,Depth,Footage Used,Max FPD,Matched Column,Section Days,Cumulative Days
"34""",Drilling,1714.0,1714.0,1527.3513513513512,"34"" FPD",1.1222,1.1222
"24""",Casing,1714.0,1714.0,2837.142857131061,"24"" CSG FPD",0.6041,1.7263
"22""",Drilling,3213.0,1499.0,1214.1176470635746,"22"" FPD",1.2346,2.961
"18-5/8""",Casing,3213.0,3213.0,1805.4545454593224,"18-5/8"" CSG FPD",1.7796,4.7406
"16""",Drilling,7420.0,4207.0,2279.0508474576272,"16"" FPD",1.8459,6.5865
"13-3/8""",Casing,7420.0,7420.0,2463.659574468085,"13-3/8"" CSG FPD",3.0118,9.5983
"12-1/4""",Drilling,9118.0,1698.0,1866.514285720494,"12-1/4"" FPD",0.9097,10.508
"9-5/8""",Casing,9118.0,9118.0,3492.5128205128203,"9-5/8"" CSG FPD",2.6107,13.1188
"8-3/8""",Drilling,13709.0,4591.0,1732.2043795590998,"8-3/8"" FPD",2.6504,15.7691
"7""",Casing,13709.0,13709.0,5364.251748243014,"7"" Liner/Casing FPD",2.5556,18.3248
"6-1/8""",Drilling,18993.0,5284.0,1228.0615384637379,"6-1/8"" FPD",4.3027,22.6275
TOTAL,,,,,,22.627299999999998,22.627299999999998
