,Section,Section Type,FPD (Max),Well ID,Matched Column
1,"34""",Drilling,1527.3513513513512,50,"34"" FPD"
2,"24""",Casing,2837.142857131061,52,"24"" CSG FPD"
3,"22""",Drilling,1214.1176470635746,43,"22"" FPD"
4,"18-5/8""",Casing,1805.4545454593224,52,"18-5/8"" CSG FPD"
5,"16""",Drilling,2279.0508474576272,41,"16"" FPD"
6,"13-3/8""",Casing,2463.659574468085,49,"13-3/8"" CSG FPD"
7,"12-1/4""",Drilling,1866.514285720494,46,"12-1/4"" FPD"
8,"9-5/8""",Casing,3492.5128205128203,46,"9-5/8"" CSG FPD"
9,"8-3/8""",Drilling,1732.2043795590998,47,"8-3/8"" FPD"
10,"7""",Casing,5364.251748243014,45,"7"" Liner/Casing FPD"
11,"6-1/8""",Drilling,1228.0615384637379,49,"6-1/8"" FPD"
